date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:02	122/122	---M-Z	200	added ('OK')	text/plain	etag:%229984-1773245053;gz%22	https://tewimakehotel.com/robots.txt		(from )
13:52:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Mar%202026%2008:22:02%20GMT	https://tewimakehotel.com/en/	/Users/a369/Desktop/tewimake-clone/tewimakehotel.com/en/index.html	(from )
13:52:04	445198/445198	---MCZ	200	added ('OK')	text/html	etag:%229721-1773226049;gz%22	https://tewimakehotel.com/en/home/	/Users/a369/Desktop/tewimake-clone/tewimakehotel.com/en/home/index.html	(from https://tewimakehotel.com/en/)
13:52:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Mar%202026%2008:22:04%20GMT	https://tewimakehotel.com/en/home/'https://tewimakehotel.com/wp-content/uploads/2024/11/WhatsApp-Image-2024-10-10-at-19.53.41-scaled.jpg'	/Users/a369/Desktop/tewimake-clone/tewimakehotel.com/en/home/'https_/tewimakehotel.com/wp-content/uploads/2024/11/WhatsApp-Image-2024-10-10-at-19.53.41-scaled.jpg'	(from https://tewimakehotel.com/en/home/)
13:52:05	382049/382049	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Mar%202026%2008:22:05%20GMT	https://tewimakehotel.com/en/home/https:/tewimakehotel.com/wp-content/uploads/2024/11/WhatsApp-Image-2024-10-10-at-19.53.41-scaled.jpg	/Users/a369/Desktop/tewimake-clone/tewimakehotel.com/en/home/https_/tewimakehotel.com/wp-content/uploads/2024/11/WhatsApp-Image-2024-10-10-at-19.53.41-scaled.jpg	(from https://tewimakehotel.com/en/home/)
13:52:06	1209/1209	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b5ac65d7b6eb0420435bb613e4e055e6%22	https://tewimakehotel.com/en/feed/	/Users/a369/Desktop/tewimake-clone/tewimakehotel.com/en/feed/index.html	(from https://tewimakehotel.com/en/home/)
13:52:07	885/885	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b5ac65d7b6eb0420435bb613e4e055e6%22	https://tewimakehotel.com/en/comments/feed/	/Users/a369/Desktop/tewimake-clone/tewimakehotel.com/en/comments/feed/index.html	(from https://tewimakehotel.com/en/home/)
13:52:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Mar%202026%2008:22:07%20GMT	https://tewimakehotel.com/en/home/'https://tewimakehotel.com/wp-content/uploads/2024/08/DJI_0916-scaled.jpg'	/Users/a369/Desktop/tewimake-clone/tewimakehotel.com/en/home/'https_/tewimakehotel.com/wp-content/uploads/2024/08/DJI_0916-scaled.jpg'	(from https://tewimakehotel.com/en/home/)
13:52:07	430757/430757	---MCZ	200	added ('OK')	text/html	etag:%229753-1773228149;gz%22	https://tewimakehotel.com/en/glampings-2/	/Users/a369/Desktop/tewimake-clone/tewimakehotel.com/en/glampings-2/index.html	(from https://tewimakehotel.com/en/home/)
13:52:08	405413/405413	---MCZ	200	added ('OK')	text/html	etag:%229817-1773232492;gz%22	https://tewimakehotel.com/en/accommodation/	/Users/a369/Desktop/tewimake-clone/tewimakehotel.com/en/accommodation/index.html	(from https://tewimakehotel.com/en/home/)
